,name,score
479,CHD3,-0.2856896
480,PPARD,-0.2857871
481,GTF2H4,-0.2858555
482,WNK1,-0.28968537
483,ARL2,-0.29001978
484,TLR1,-0.29052517
485,ITGA3,-0.2906758
486,ACD,-0.29115042
487,KLB,-0.2918669
488,DYNC1H1,-0.29242924
489,DMD,-0.29275247
490,TPM4,-0.29353496
491,VAV1,-0.2938178
492,DHX9,-0.29456338
493,TG,-0.29477748
494,IRAK1,-0.29484197
495,CENPF,-0.2968246
496,KMT2B,-0.29700813
497,MYO15A,-0.2973855
498,NR2F2,-0.2974228
499,CENPT,-0.29842177
500,RASGRF1,-0.2986081
501,CHD9,-0.30073714
502,CBFB,-0.30075866
503,SPTAN1,-0.30275425
504,EPHA7,-0.30335215
505,FGF22,-0.30347964
506,PML,-0.30407354
507,CLTC,-0.30532455
508,MBD1,-0.30570507
509,ZBTB16,-0.3063903
510,MED12,-0.30664566
511,CCDC8,-0.30919608
512,PPARA,-0.30930433
513,LY96,-0.30996174
514,BCL6,-0.31007266
515,LRP1B,-0.3114619
516,GPR37,-0.3117216
517,SGK1,-0.31234407
518,GTF2H3,-0.31268194
519,ACVR2A,-0.31360665
520,MRC1,-0.31452706
521,PCDHA9,-0.31477192
522,KCNJ9,-0.31487796
523,GEN1,-0.31740913
524,ATP1B1,-0.3174354
525,HDAC1,-0.31745052
526,APOC1,-0.31877604
527,HSD17B2,-0.31923658
528,SPEN,-0.32034242
529,EPHA5,-0.32337478
530,PRKCZ,-0.32438034
531,TP53BP1,-0.32452485
532,KIF2B,-0.32497793
533,MYOD1,-0.32510677
534,RBM5,-0.32514715
535,NR3C1,-0.32589373
536,SDC1,-0.3264939
537,SPRY1,-0.3267613
538,CYP11B1,-0.32792643
539,EPHB2,-0.32816374
540,SMC3,-0.3288425
541,PLK1,-0.33060804
542,FAT3,-0.33185557
543,ALMS1,-0.33187756
544,RASGRP3,-0.3347621
545,TFEB,-0.33489552
546,AMHR2,-0.33508632
547,EPHB1,-0.33546627
548,PRSS3,-0.33556208
549,TAF4,-0.33691987
550,SP1,-0.33744848
551,TFF1,-0.33866727
552,LGR5,-0.34026214
553,MUC1,-0.34059393
554,DNAH7,-0.34060264
555,REL,-0.34155193
556,XPO1,-0.3417242
557,PIAS3,-0.3428919
558,ATP1B4,-0.34310496
559,PRIM1,-0.34373248
560,CDC25A,-0.34561357
561,PCK2,-0.3476363
562,RHOB,-0.3498489
563,SPTBN1,-0.35038328
564,ATP2B3,-0.35201943
565,BCL2A1,-0.3520789
566,TBCD,-0.35337833
567,SOCS1,-0.35394928
568,PCDH15,-0.35447955
569,DUSP4,-0.35521147
570,CDK6,-0.35539892
571,ERCC6,-0.35794187
572,KCNK3,-0.35854104
573,NPNT,-0.35883054
574,CDC27,-0.35904002
575,PTGS2,-0.35957217
576,P4HA3,-0.3608553
577,NOS1,-0.3612179
578,LTA,-0.36156103
579,TICAM1,-0.3618634
580,UBB,-0.36261204
581,STAT6,-0.3626463
582,RSPO1,-0.3635238
583,RAF1,-0.364714
584,TRIM28,-0.36564803
585,SSTR1,-0.36658004
586,SRSF6,-0.36679745
587,CBLB,-0.36816037
588,COL4A1,-0.3691568
589,SNAI2,-0.36975166
590,PPP4C,-0.370743
591,MAPKAPK5,-0.371974
592,PTK2B,-0.37203264
593,DDB1,-0.37255168
594,FANCL,-0.3740702
595,GPS2,-0.37465236
596,GAB2,-0.37470332
597,CD19,-0.37555048
598,ITCH,-0.37607995
599,EIF3A,-0.37646434
600,WEE1,-0.37724206
601,GAS1,-0.3784869
602,MEN1,-0.37872303
603,SMARCA5,-0.3792137
604,APP,-0.38009927
605,ELF3,-0.38013613
606,CLASP2,-0.38048062
607,NR1D1,-0.38162613
608,FANCE,-0.3830205
609,ID3,-0.38357934
610,FOSB,-0.38358453
611,BBC3,-0.38440955
612,GRAP2,-0.3844416
613,EPHA2,-0.3857539
614,SF3B1,-0.38608372
615,CREB5,-0.38631907
616,POLE2,-0.38660297
617,HUWE1,-0.38681868
618,LCAT,-0.38690296
619,GSK3B,-0.38721284
620,RACGAP1,-0.38751602
621,DYNC1I1,-0.38782892
622,TBL1XR1,-0.38804373
623,MMP3,-0.38858756
624,DLG2,-0.38915238
625,POM121,-0.38957492
626,PPP2R2A,-0.3902258
627,NUP205,-0.39026153
628,CALR,-0.39061844
629,GMIP,-0.39099392
630,MYO3A,-0.39114523
631,HSD3B1,-0.39172685
632,ERC1,-0.39240518
633,LPP,-0.39252236
634,DSCAM,-0.3926389
635,IL1A,-0.3928713
636,SUZ12,-0.39313975
637,CNTFR,-0.39350072
638,SZT2,-0.39374948
639,SREBF1,-0.3941797
640,IQGAP1,-0.39496127
641,NFKBIE,-0.39512137
642,CBL,-0.39665642
643,SMARCE1,-0.39765453
644,IRS2,-0.3979918
645,ASPH,-0.39799973
646,ESCO1,-0.39802578
647,PRKG1,-0.39825416
648,GBF1,-0.398402
649,SMARCC2,-0.3997767
650,TRIM13,-0.4005133
651,USP9X,-0.4005836
652,RPL3,-0.40270233
653,IKZF1,-0.4027253
654,PRKD2,-0.40325698
655,PPP2R5C,-0.40366578
656,GHR,-0.4042809
657,CSK,-0.4042828
