,name,score
462,ZFP36L1,-14.075161
463,BMPR1A,-14.129273
464,SRCAP,-14.166685
465,CDH5,-14.17722
466,GRIN2B,-14.180735
467,IRAK4,-14.1862955
468,TP73,-14.189983
469,MAML1,-14.200088
470,TJP1,-14.201161
471,RAPGEF1,-14.213908
472,CABIN1,-14.225528
473,RFC2,-14.234431
474,AURKA,-14.247833
475,AP2A1,-14.2617655
476,GNAI1,-14.266269
477,DOT1L,-14.307292
478,CLTC,-14.328079
479,IRF3,-14.335629
480,FBN1,-14.370557
481,PCNA,-14.372303
482,AP2M1,-14.374312
483,CDH2,-14.378198
484,MTA1,-14.394561
485,GNAS,-14.401921
486,POLE2,-14.429775
487,SDC3,-14.437024
488,MYO5A,-14.462457
489,DIDO1,-14.470937
490,PTPRD,-14.475992
491,PLXND1,-14.48721
492,EPHA2,-14.487763
493,LY96,-14.490636
494,IGF2,-14.498486
495,VCAM1,-14.500653
496,CAV1,-14.503175
497,CCAR1,-14.510173
498,PTPRZ1,-14.527498
499,JMJD1C,-14.5651655
500,EPS15,-14.56856
501,EPHA4,-14.582159
502,TLE4,-14.61406
503,DYRK1A,-14.619947
504,TCF3,-14.647177
505,NFATC1,-14.648009
506,STAT6,-14.662442
507,RYR2,-14.694523
508,TAB2,-14.695627
509,EXO1,-14.702368
510,RBBP7,-14.702645
511,AXIN2,-14.706456
512,HERC1,-14.715527
513,PLXNA1,-14.722329
514,TBL1X,-14.7265835
515,GNAZ,-14.776122
516,RHOB,-14.77624
517,PTPRF,-14.805546
518,PALB2,-14.834025
519,NCAM1,-14.843536
520,SIPA1L1,-14.846724
521,BRWD1,-14.851165
522,RBM5,-14.8718
523,PAK2,-14.87811
524,EPHA3,-14.886502
525,KPNA2,-14.900817
526,HNRNPUL1,-14.908582
527,DDX58,-14.929183
528,SUGP1,-14.936399
529,GATAD2A,-14.936763
530,REV1,-14.9541025
531,SALL4,-14.98111
532,PRLR,-15.007925
533,RIPK1,-15.010245
534,AFF4,-15.016765
535,HES1,-15.0354595
536,IL2RA,-15.043718
537,DNAH11,-15.06792
538,DNAH3,-15.101644
539,LIG4,-15.10178
540,MYO6,-15.119131
541,ORC3,-15.12058
542,MED23,-15.149075
543,IRF7,-15.155027
544,HDAC1,-15.167684
545,MED13L,-15.180547
546,ERCC4,-15.188793
547,HDAC9,-15.195574
548,HIVEP3,-15.219524
549,FGB,-15.228324
550,TLE1,-15.236383
551,MYO9A,-15.242293
552,EP400,-15.264898
553,ACVR1B,-15.2786
554,MAPK10,-15.290119
555,PSME4,-15.294686
556,CREB1,-15.300692
557,TCF12,-15.308153
558,SMC2,-15.314366
559,CD79A,-15.315809
560,NF2,-15.31866
561,FANCB,-15.3511505
562,BMP2,-15.357864
563,MOV10,-15.360292
